code,name,mv_mean,amount_mean,num_days,profit,code,name,mv_mean,amount_mean,num_days,profit
600150.SH,中国船舶,9094377.67576434,1313809.2935767637,241,213814622.44,000561.SZ,烽火电子,445389.7672228631,75453.54019087137,241.0,110730622.5
301050.SZ,雷电微力,2097665.0186335403,211869.70014906832,161,201507670.13,002338.SZ,奥普光电,487544.5643153527,108237.6390373444,241.0,53266444.9
002151.SZ,北斗星通,2013325.7403687264,288255.604186722,241,202572172.21,002933.SZ,新兴装备,346544.77551867225,67308.21113692946,241.0,-1842192.64
300456.SZ,赛微电子,1715620.3664975062,405407.5331950208,241,205727463.64,002935.SZ,天奥电子,569992.1851431535,142625.71245228214,241.0,118399131.95
600435.SH,北方导航,1348563.810622407,315222.7692946058,241,133544749.68,300424.SZ,航新科技,360223.8911957842,133816.09401244813,241.0,25531445.43
300101.SZ,振芯科技,1228852.4216929462,490667.2066846473,241,151478499.1,300875.SZ,捷强装备,490363.57367002487,63150.54849792532,241.0,30994817.57
002214.SZ,大立科技,1140108.5854072324,166971.0330207469,241,171163552.69,300922.SZ,天秦装备,416751.0936099585,138895.0018174274,241.0,80669602.73
605123.SH,派克新材,1118329.244813278,145346.78317842324,241,304086609.06,600184.SH,光电股份,636111.4715986556,108097.29378008298,241.0,62488780.52
688586.SH,江航装备,1115112.062665593,107874.89108298754,241,231164291.13,,,,,,
002190.SZ,成飞集成,996264.3221823984,171706.45899170125,241,55728438.41,,,,,,
600072.SH,中船科技,973739.8723159264,277301.3208138528,231,80047823.25,,,,,,
002023.SZ,海特高新,970890.631981494,318804.9844771784,241,735828252.89,,,,,,
688788.SH,科思科技,951024.8744077676,94924.758439834,241,175828593.52,,,,,,
300114.SZ,中航电测,920841.1867732116,143691.72897095437,241,307007852.69,,,,,,
300008.SZ,天海防务,884528.6384896804,282136.7223278008,241,25970776.33,,,,,,
002413.SZ,雷科防务,845374.8204835602,202825.95062655603,241,-240755551.15,,,,,,
001696.SZ,宗申动力,794924.2491246474,90988.43273443983,241,480558659.03,,,,,,
688311.SH,盟升电子,775094.0221576764,71102.69092531121,241,134431782.79,,,,,,
300397.SZ,天和防务,763956.6802691701,274898.49838174274,241,-72113605.08,,,,,,
300065.SZ,海兰信,732543.6094757385,490858.8155560166,241,48910243.97,,,,,,
000901.SZ,航天科技,723336.0757874523,156612.0886099585,241,31919807.93,,,,,,
601890.SH,亚星锚链,712746.6199170125,316918.77364315354,241,121174759.82,,,,,,
600391.SH,航发科技,700859.1668154065,220249.1883319502,241,21285717.38,,,,,,
002520.SZ,日发精机,699562.4672231369,225220.7248174274,241,51008318.92,,,,,,
